G1/S	S	G2/M	M	M/G1
ORC1	ANKRD18A	IQGAP3	CKS1B	TROAP
ZNF367	REEP1	TRAIP	DEPDC1B	CDKN3
ADAMTS1	DEPDC7	CDC25C	SHCBP1	PRC1
CCNE2	CDC7	NEIL3	FAM64A	HSD17B11
CDC25A	DNA2	PIF1	FYN	BTBD3
RECQL4	EXO1	KIFC1	KIF2C	SLC39A10
DTL	KDELC1	HJURP	SPAG5	GTF3C4
CDC6	ANKRD18A	NCAPH	CIT	WWC1
CCNE1	BRIP1	KIF23	CENPA	ELP3
MCM2	PKMYT1	SKA3	DIAPH3	FOXK2
GINS3	CDC45	KIAA1524	CADM1	OPN3
CHAF1B	C11orf82	NDC80	KIF14	KIAA0586
WDR76	BLM	CCNF	PLK1	ANTXR1
MCM6	RAD51	CDCA8	MDC1	CEP70
CLSPN	CCDC150	PSRC1	DEPDC1	HMGCR
CDCA7	CDCA5	FANCD2	BUB1	TULP4
OSBPL6	CPNE8	ESPL1	DLGAP5	ZNF281
RAB23	MCM8	CDR2	NUF2	CDK7
PLCXD1	ESCO2	AURKB	CEP55	LYAR
SKP2	GOLGA8B	BORA	GTSE1	PPP6R3
MDM1	ASF1B	LMNB1	HMMR	DCP1A
GINS2	FANCA	TRIM59	FOXM1	FAM189B
E2F1	INTS7	CHEK2	E2F5	AGPAT3
MCM5	POLA1	MND1	PRR11	PSEN1
SNHG10	FANCI	CDCA2	NEK2	NUP37
HSF2	RRM2	CKAP2L	TACC3	MSL1
UBR7	TTLL7	STIL	CENPE	AGFG1
RMI2	RAD51AP1	POLQ	CCNB2	SNUPN
NUP43	KAT2B	MELK	CDC20	STAG1
ACD	CHML	CENPL	BIRC5	LRIF1
ZMYND19	BRCA1	LIX1L	CCDC88A	PAK1IP1
MSH2	ABHD10	KIF11	POC1A	NCOA3
CDCA7L	TYMS	C14orf80	MKI67	PTTG1
KIAA1586	PRIM1	UBE2C	MKI67	CTR9
PMS1	TTC31	NCAPD3	HSPA13	DKC1
UNG	E2F8	HAUS8	CDC25B	FOPNL
KIAA1147	CENPQ	FAM83D	TPX2	VCL
POLD3	PHTF1	CDK1	AURKA	MRPS2
ANKRD10	MASTL	MAD2L1	ANKRD40	WIPF2
CHAF1A	OSGIN2	GABPB1	CENPF	
BARD1	GOLGA8A	SAP30	CNTROB	
INTS8	PHTF2	CFD	NCAPD2	
APEX2	BBS2	TTF2	SGOL2	
ACYP1	BMI1	MID1	SRF	
